Employee ID,Total No of Employees,Job Level before FY20 promotions,Job Level after FY20 promotions,Job Level after FY21 promotions,Total Promotion,FY19 Performance Rating,FY20 Performance Rating
91,1, Junior Officer, Senior Officer, Manager,2,1,2
175,1, Junior Officer, Senior Officer, Manager,2,1,2
324,1, Manager, Senior Manager, Director,2,1,2
440,1, Senior Officer, Manager, Senior Manager,2,1,2
12,1, Junior Officer, Junior Officer, Senior Officer,1,3,2
18,1, Junior Officer, Junior Officer, Senior Officer,1,3,2
20,1, Junior Officer, Senior Officer, Senior Officer,1,1,2
31,1, Junior Officer, Junior Officer, Senior Officer,1,2,2
32,1, Manager, Manager, Senior Manager,1,2,1
33,1, Senior Officer, Manager, Manager,1,1,2
34,1, Senior Officer, Senior Officer, Manager,1,2,1
39,1, Junior Officer, Senior Officer, Senior Officer,1,2,3
51,1, Senior Officer, Senior Officer, Manager,1,3,2
54,1, Senior Officer, Senior Officer, Manager,1,3,2
58,1, Senior Officer, Senior Officer, Manager,1,3,2
66,1, Manager, Senior Manager, Senior Manager,1,2,3
67,1, Senior Manager, Director, Director,1,1,2
76,1, Manager, Manager, Senior Manager,1,3,2
88,1, Junior Officer, Junior Officer, Senior Officer,1,3,2
90,1, Junior Officer, Senior Officer, Senior Officer,1,1,2
117,1, Senior Officer, Manager, Manager,1,1,2
120,1, Senior Officer, Senior Officer, Manager,1,3,2
137,1, Senior Manager, Senior Manager, Director,1,3,2
138,1, Junior Officer, Junior Officer, Senior Officer,1,2,2
141,1, Manager, Senior Manager, Senior Manager,1,2,4
160,1, Manager, Senior Manager, Senior Manager,1,2,1
173,1, Junior Officer, Senior Officer, Senior Officer,1,1,2
176,1, Senior Manager, Senior Manager, Director,1,2,2
179,1, Senior Officer, Senior Officer, Manager,1,3,2
181,1, Junior Officer, Senior Officer, Senior Officer,1,2,3
206,1, Senior Officer, Manager, Manager,1,1,2
215,1, Manager, Manager, Senior Manager,1,3,1
222,1, Director, Director, Executive,1,3,3
225,1, Junior Officer, Senior Officer, Senior Officer,1,1,2
228,1, Senior Officer, Senior Officer, Manager,1,3,2
232,1, Junior Officer, Junior Officer, Senior Officer,1,3,2
234,1, Junior Officer, Junior Officer, Senior Officer,1,2,2
237,1, Junior Officer, Junior Officer, Senior Officer,1,3,2
243,1, Senior Manager, Director, Director,1,2,3
248,1, Senior Officer, Manager, Manager,1,1,2
251,1, Junior Officer, Junior Officer, Senior Officer,1,,2
262,1, Senior Manager, Director, Director,1,2,2
264,1, Junior Officer, Junior Officer, Senior Officer,1,,2
267,1, Junior Officer, Senior Officer, Senior Officer,1,1,2
269,1, Senior Officer, Senior Officer, Manager,1,3,3
286,1, Senior Officer, Manager, Manager,1,2,3
293,1, Junior Officer, Junior Officer, Senior Officer,1,2,2
299,1, Junior Officer, Junior Officer, Senior Officer,1,2,3
305,1, Junior Officer, Junior Officer, Senior Officer,1,3,2
316,1, Director, Executive, Executive,1,2,
317,1, Junior Officer, Junior Officer, Senior Officer,1,3,1
319,1, Junior Officer, Junior Officer, Senior Officer,1,2,1
327,1, Senior Officer, Manager, Manager,1,1,3
344,1, Senior Officer, Senior Officer, Manager,1,,2
352,1, Junior Officer, Junior Officer, Senior Officer,1,,2
356,1, Senior Officer, Senior Officer, Manager,1,2,2
364,1, Junior Officer, Senior Officer, Senior Officer,1,2,4
366,1, Junior Officer, Junior Officer, Senior Officer,1,3,1
372,1, Manager, Manager, Senior Manager,1,3,2
376,1, Manager, Senior Manager, Senior Manager,1,1,2
379,1, Junior Officer, Senior Officer, Senior Officer,1,1,3
385,1, Senior Manager, Senior Manager, Director,1,2,2
392,1, Manager, Senior Manager, Senior Manager,1,2,3
398,1, Senior Officer, Manager, Manager,1,2,2
414,1, Junior Officer, Senior Officer, Senior Officer,1,1,3
418,1, Junior Officer, Junior Officer, Senior Officer,1,2,2
421,1, Director, Director, Executive,1,3,3
425,1, Director, Executive, Executive,1,2,
429,1, Manager, Senior Manager, Senior Manager,1,1,2
435,1, Manager, Manager, Senior Manager,1,3,1
442,1, Senior Officer, Senior Officer, Manager,1,2,2
444,1, Junior Officer, Senior Officer, Senior Officer,1,2,3
454,1, Senior Officer, Senior Officer, Manager,1,2,1
457,1, Senior Officer, Senior Officer, Manager,1,2,2
462,1, Manager, Manager, Senior Manager,1,2,2
467,1, Director, Director, Executive,1,2,2
473,1, Manager, Manager, Senior Manager,1,,2
477,1, Director, Director, Executive,1,2,2
485,1, Senior Officer, Manager, Manager,1,1,3
487,1, Senior Officer, Manager, Manager,1,2,3
493,1, Manager, Manager, Senior Manager,1,2,1
499,1, Manager, Senior Manager, Senior Manager,1,1,2
500,1, Manager, Manager, Senior Manager,1,3,2
1,, Director, Director, Director,0,,
1,, Director, Director, Executive,0,,
1,, Director, Director,Resigned,0,,
1,, Director, Executive, Executive,0,,
1,, Executive, Executive, Executive,0,,
1,, Executive, Executive,Resigned,0,,
1,, Junior Officer, Junior Officer, Junior Officer,0,,
1,, Junior Officer, Junior Officer, Senior Officer,0,,
